id,x,y
0,37.454011884736246,60.75448519014384
1,95.07143064099162,17.052412368729154
2,73.1993941811405,6.505159298527952
3,59.86584841970366,94.88855372533332
4,15.601864044243651,96.56320330745594
5,15.599452033620265,80.83973481164611
6,5.8083612168199465,30.46137691733707
7,86.61761457749351,9.767211400638388
8,60.11150117432088,68.42330265121569
9,70.80725777960456,44.01524937396013
10,2.0584494295802447,12.203823484477883
11,96.99098521619943,49.51769101112702
12,83.24426408004217,3.4388521115218396
13,21.233911067827616,90.9320402078782
14,18.182496720710063,25.87799816000169
15,18.34045098534338,66.2522284353982
16,30.42422429595377,31.171107608941096
17,52.475643163223786,52.00680211778108
18,43.194501864211574,54.67102793432797
19,29.122914019804192,18.485445552552704
20,61.18528947223795,96.95846277645586
21,13.949386065204184,77.51328233611146
22,29.214464853521815,93.9498941564189
23,36.63618432936917,89.48273504276489
24,45.606998421703594,59.78999788110851
25,78.51759613930136,92.18742350231169
26,19.967378215835975,8.84925020519195
27,51.42344384136116,19.59828624191452
28,59.24145688620425,4.522728891053807
29,4.645041271999773,32.53303307632643
